Line,HTS,Country,Entry Date,Value,Declared Duty,Correct Duty,Missing Amount,Missing Tariffs
24,8482400000,JP,2025-03-27,70,4.06,21.56,17.5,Sec 232 MHDV + Buses + Parts ($17.50)
27,8511500000,JP,2025-03-27,566,14.15,155.65,141.5,Sec 232 MHDV + Buses + Parts ($141.50)
32,8544300000,JP,2025-03-27,589,29.45,176.7,147.25,Sec 232 MHDV + Buses + Parts ($147.25)
33,8708106050,JP,2025-03-27,41680,1042.0,11462.0,10420.0,Sec 232 MHDV + Buses + Parts ($10420.00)
36,8708305090,JP,2025-03-27,1920,48.0,528.0,480.0,Sec 232 MHDV + Buses + Parts ($480.00)
37,8708407580,JP,2025-03-27,837,20.93,230.18,209.25,Sec 232 MHDV + Buses + Parts ($209.25)
38,8708706045,JP,2025-03-27,3499,87.48,962.23,874.75,Sec 232 MHDV + Buses + Parts ($874.75)
41,8708937500,JP,2025-03-27,4628,115.7,1272.7,1157.0,Sec 232 MHDV + Buses + Parts ($1157.00)
42,8708947550,JP,2025-03-27,311,7.78,85.53,77.75,Sec 232 MHDV + Buses + Parts ($77.75)
43,8708995500,JP,2025-03-27,909,22.73,249.98,227.25,Sec 232 MHDV + Buses + Parts ($227.25)
44,8708995500,PH,2025-03-27,45,1.13,12.37,11.24,Sec 232 MHDV + Buses + Parts ($11.25)
59,99038190,MULTI,2025-03-27,25,6.25,12.5,6.25,See breakdown
61,99038190,MULTI,2025-03-27,90,22.5,45.0,22.5,See breakdown
63,99038190,MULTI,2025-03-27,6,1.5,3.0,1.5,See breakdown
67,99038190, JP,2025-03-27,0,2.25,0.0,-2.25,See breakdown
69,99038190, JP,2025-03-27,45,11.25,22.5,11.25,See breakdown
70,8708106050, JP,2025-03-27,2399,59.98,659.73,599.75,Sec 232 MHDV + Buses + Parts ($599.75)
71,99038508, JP,2025-03-27,2399,599.75,1199.5,599.75,See breakdown
77,99038508,JP,2025-03-27,998,249.5,499.0,249.5,See breakdown
